zendesk-api,13
unicode-display_width,13
ramdiv-mongo_mapper_acts_as_tree,13
ruby-filemagic,13
activemessaging,13
cronedit,13
prawn_rails,13
toadhopper,13
nested_has_many_through,13
flickr,13
Text,13
robots,13
scribd_fu,13
active_scaffold,13
ruby-xslt,13
static_model,13
resque_unit,13
cap_gun,13
repeated_auto_complete,13
named-parameters,13
attrtastic,13
public_suffix_service,13
mark_facets,13
action_mailer_tls,13
commander,13
geoip-c,13
acts_as_list_mongoid,13
active_scaffold_vho,13
hobofields,13
hydra,13
albino,13
ar_mailer_rails3,13
rack-google_analytics,13
pluginaweek-state_machine,13
googleajax,13
mixpanel_client,13
query_trace,12
sc-core-ext,12
lorax,12
soundcloud-ruby-api-wrapper,12
tokamak,12
tlattr_accessors,12
xmlcanonicalizer,12
carrierwave_backgrounder,12
rack-google-analytics,12
facter,12
rubyjedi-soap4r,12
rake-compiler,12
breadcrumbs,12
later_dude,12
watir-webdriver,12
email_validator,12
encrypted_strings,12
rd_find_by_param,12
html5,12
ryanb-scope-builder,12
custom_error_message,12
i18n_data,12
giraffesoft-timeline_fu,12
oa-vkontakte,12
todonotes,12
informal,12
delayed_task,12
bitfields,12
campaign_monitor,12
exception_logger,12
sendgrid-rails,12
shared-mime-info,12
tumblr-api,12
will_paginate_renderers,12
httpadapter,12
anemone,12
config_reader,12
fixture_builder,12
sms_fu,12
utility_belt,12
spork-testunit,12
nestful,12
safe_shell,12
signet,12
simplecov-rcov,12
net-http-spy,12
scruffy,12
addresslogic,12
guard-test,12
stripe,12
simple-daemon,12
sunspot_matchers,12
capybara-firebug,12
alias,12
alter-ego,12
crumble,12
dm-postgres-adapter,12
remote_syslog_logger,12
asf-soap-adapter,12
colorize,12
imgkit,12
creditcard,11
linefit,11
uniquify,11
grosser-fast_gettext,11
permanent_records,11
http_status_exceptions,11
warbler,11
collections,11
shorturl,11
google_analytics,11
syslog-logger,11
couch_potato,11
id3lib-ruby,11
dj_remixes,11
scribe,11
bmabey-email_spec,11
writeexcel,11
app,11
spree_editor,11
erector,11
smart_asset,11
thinking-sphinx-raspell,11
twilio-rb,11
weakling,11
us_states_select,11
rack-debug,11
mongomapper_ext,11
pickler,11
ruby_protobuf,11
dm-adjust,11
grouped_validations,11
rbtrace,11
gowalla,11
mongoid_geo,11
gravatarify,11
wirb,11
brightcove-api,11
spree_static_content,11
campaigning,11
validates_as_email_address,11
modernizr-rails,11
guard-pow,11
ruby-gmail,11
popen4,11
chargify,11
jelly,11
to-csv,11
fleakr,11
rack-force_domain,11
apns,11
algorithms,11
e20_ops_middleware,11
snmp,11
dbf,11
bertrpc,11
resque-heroku-autoscaler,11
eventfulapi,11
sauce,11
comfortable_mexican_sofa,11
acts_as_rateable,11
jira4r,11
eu_central_bank,11
rails_email_validator,10
unidecoder,10
pox_paginate,10
heroku_cloud_backup,10
rubberband,10
flash_messages_helper,10
test_benchmark,10
time-warp,10
ruby-json,10
active_device,10
juicer,10
mongoid_acts_as_tree,10
semanticart-is_paranoid,10
whereuat,10
RocketAMF,10
ipaddress,10
remarkable_mongoid,10
rspec-rails-matchers,10
completeness-fu,10
gpgme,10
gibberish,10
rack-gridfs,10
relevance-rcov,10
puppet,10
rbing,10
tire,10
gdocs4ruby,10
validatious-on-rails,10
rufus-json,10
vote_fu,10
fancy_irb,10
shoulda-context,10
fakefs,10
be9-acl9,10
calais,10
hobosupport,10
nokogiri-happymapper,10
notifo,10
oauth-active-resource,10
syslogger,10
video_info,10
dictionary,10
easy_diff,10
gelf,10
notahat-machinist,10
rufus-tokyo,10
inploy,10
minion,10
jchupp-is_paranoid,10
validates_lengths_from_database,10
thoughtbot-sortable_table,10
rspec_tag_matchers,10
geohash,10
jtv-apns,10
ziya,10
bourne,10
loggable,10
heroku-nav,10
bitmask-attribute,10
always_verify_ssl_certificates,10
cloudfront_asset_host,10
alphadecimal,10
twitterland,10
refinerycms-calendar,10
refinerycms-events,10
htmltools,10
tmm1-amqp,10
multipart,10
spree_active_shipping,10
clipboard,9
shadow_puppet,9
noodall-devise,9
crafterm-comma,9
noodall-ui,9
rails-settings-cached,9
peach,9
ftpfxp,9
cerealize,9
health_monitor,9
rails-pulse,9
shopify_app,9
rtf,9
babilu,9
progress_bar,9
xml-sitemap,9
troelskn-handsoap,9
mynyml-redgreen,9
wkhtmltopdf,9
opengraph,9
simple_model,9
ohm-contrib,9
net-ssh-multi,9
mogilefs-client,9
simple_autocomplete,9
rillow,9
googlestaticmap,9
irbtools,9
bind,9
bayes_motel,9
delayed_job_active_record,9
rqr,9
FooBarWidget-money,9
mongoid-history,9
wrest,9
isbn-tools,9
rubystats,9
auth-hmac,9
kwalify,9
boson,9
hypertemplate,9
thinkingtank,9
jnunemaker-httparty,9
one40_proof,9
xmpp4r-simple,9
rack-p3p,9
lucy,9
dupe,9
resque-restriction,9
vcard,9
ruby-imagespec,9
ransack,9
devise_bushido_authenticatable,9
rails3-settings,9
parseline,9
haddock,9
easy_translate,9
simple_worker,9
iban-tools,9
google-adwords-api,9
currency,9
options,9
zucker,9
character-encodings,9
pagseguro,9
rest-client-components,9
cmess,9
httmultiparty,9
resque-multi-job-forks,9
i18n_generators,9
gravatar-ultimate,9
noodall-core,9
rubygems-update,9
ultraviolet,9
c2dm,9
acts_as_solr_reloaded,9
pismo,9
sunspot_index_queue,9
wvanbergen-scoped_search,9
rflickr,8
noodall-components-general-content,8
ec2onrails,8
grid-coordinates,8
tmdb_party,8
viewfu,8
weekdays,8
active_record_base_without_table,8
pry-doc,8
paperclip-meta,8
citrusbyte-is_taggable,8
test-spec,8
gabbara,8
fast_context,8
uservoice,8
authlogic_haapi,8
savon_spec,8
mailcatcher,8
